,user_id,book_id,rating,title
0,-1,2517439,5,"The Forever War  (The Forever War, #1)"
1,-1,113576,5,The Smartest Guys in the Room: The Amazing Rise and Scandalous Fall of Enron
2,-1,35100,5,Battle Cry of Freedom
3,-1,228221,5,The Mask of Command
5,-1,17662739,5,"2001: A Space Odyssey  (Space Odyssey, #1)"
6,-1,356824,5,India After Gandhi: The History of the World's Largest Democracy
7,-1,12125412,5,The Lady or the Tiger?: and Other Logic Puzzles
8,-1,139069,5,Endurance: Shackleton's Incredible Voyage
10,-1,76680,5,"Foundation  (Foundation, #1)"
11,-1,1898,5,Into Thin Air: A Personal Account of the Mount Everest Disaster
12,-1,5096865,5,In Cold Blood
13,-1,228665,5,"The Eye of the World  (The Wheel of Time, #1)"
17,-1,437143,5,A Short History of Nearly Everything
18,-1,18949861,5,Contact
19,-1,2913377,5,"The Name of the Wind  (The Kingkiller Chronicle, #1)"
20,-1,1215032,5,"The Wise Man's Fear  (The Kingkiller Chronicle, #2)"
21,-1,883438,5,East of Eden
22,-1,5578108,5,From Colony to Superpower: U.S. Foreign Relations Since 1776
23,-1,128029,5,A Thousand Splendid Suns
24,-1,77203,5,The Kite Runner
25,-1,5439,5,Interpreter of Maladies
26,-1,1685995,5,Dune  (Dune #1)
27,-1,6448772,5,"Quantum: Einstein, Bohr, and the Great Debate about the Nature of Reality"
527,-1,8161140,1,On the Beach
528,-1,28187,1,"The Lightning Thief  (Percy Jackson and the Olympians, #1)"
531,-1,25659450,1,Arkwright
532,-1,82599,1,Rabbits: A Novel
